kernel,case,eval_file,resource_config,region_count,total_A,total_LD,total_ST,max_region_CP,aggregate_cycles,scheduled_cycles,gap_cycles,gap_ratio,P_saturated_cycles,P_longest_saturated_run,P_peak_ready_backlog,L_saturated_cycles,L_longest_saturated_run,L_peak_ready_backlog,S_saturated_cycles,S_longest_saturated_run,S_peak_ready_backlog,region_summary
axpy,default,tests/app/axpy/axpy_eval.md,6x6,1,32,26,16,4,4,5,1,1.2500,0,0,0,2,2,14,1,1,2,"axpy:CP=4,A=32,LD=26,ST=16,agg=4,sched=5"
autocorrelation,default,tests/app/autocorrelation/autocorrelation_eval.md,6x6,1,18064,10834,3664,11,903,906,3,1.0033,299,299,7228,902,902,9574,303,303,15,"autocorrelation:CP=11,A=18064,LD=10834,ST=3664,agg=903,sched=906"
fft_butterfly,default,tests/app/fft_butterfly/fft_butterfly_eval.md,6x6,5,731,292,342,33,74,78,4,1.0541,1,1,0,11,5,37,15,4,15,"copy:CP=2,A=33,LD=49,ST=50,agg=5,sched=6; s=1:CP=8,A=183,LD=65,ST=90,agg=8,sched=10; s=2:CP=11,A=175,LD=61,ST=74,agg=11,sched=12; s=3:CP=17,A=171,LD=59,ST=66,agg=17,sched=17; s=4:CP=33,A=169,LD=58,ST=62,agg=33,sched=33"
conv2d,default,tests/app/conv2d/conv2d_eval.md,6x6,1,74515,13716,6220,17,2070,2173,103,1.0498,2069,2069,34220,1143,648,5928,518,506,3204,"conv2d:CP=17,A=74515,LD=13716,ST=6220,agg=2070,sched=2173"
batchnorm,default,tests/app/batchnorm/batchnorm_eval.md,6x6,1,2645,568,548,10,74,98,24,1.3243,73,73,769,47,47,300,45,45,356,"batchnorm:CP=10,A=2645,LD=568,ST=548,agg=74,sched=98"
bit_reverse,default,tests/app/bit_reverse/bit_reverse_eval.md,6x6,1,49664,25345,25600,132,2134,2134,0,1.0000,7,7,220,2112,2112,1013,2133,2133,244,"bit_reverse:CP=132,A=49664,LD=25345,ST=25600,agg=2134,sched=2134"
bisection_step,default,tests/app/bisection_step/bisection_step_eval.md,6x6,1,384,321,192,4,27,29,2,1.0741,1,1,28,26,26,309,6,6,4,"bisection_step:CP=4,A=384,LD=321,ST=192,agg=27,sched=29"
bitonic_stage,default,tests/app/bitonic_stage/bitonic_stage_eval.md,6x6,1,80,19,12,11,11,11,0,1.0000,0,0,0,0,0,0,0,0,0,"bitonic_stage:CP=11,A=80,LD=19,ST=12,agg=11,sched=11"
bitonic_stage-modified,default,tests/app/bitonic_stage-modified/bitonic_stage-modified_eval.md,6x6,1,133,55,48,31,31,31,0,1.0000,0,0,0,1,1,7,0,0,0,"bitonic_stage-modified:CP=31,A=133,LD=55,ST=48,agg=31,sched=31"
binary_search,default,tests/app/binary_search/binary_search_eval.md,6x6,1,124,69,41,48,48,48,0,1.0000,0,0,0,1,1,0,0,0,0,"binary_search:CP=48,A=124,LD=69,ST=41,agg=48,sched=48"
