domain,edge,field,manual_value,inferred_value,match,ii_with_manual,ii_with_inferred,ii_delta_pct,method,git_hash,timestamp
ai_llm,qkv_proj->attn_score,rate,2048,1024,0,2048,1024,50.0,simulated,4d4c308,2026-03-24T07:10:32Z
ai_llm,qkv_proj->attn_score,tile_shape,"[32, 64]",[1024],0,2048,1024,50.0,simulated,4d4c308,2026-03-24T07:10:32Z
ai_llm,qkv_proj->attn_score,visibility,LOCAL_SPM,LOCAL_SPM,1,2048,1024,50.0,simulated,4d4c308,2026-03-24T07:10:32Z
ai_llm,qkv_proj->attn_score,double_buffering,False,False,1,2048,1024,50.0,simulated,4d4c308,2026-03-24T07:10:32Z
ai_llm,qkv_proj->attn_score,backpressure,N/A,BLOCK,0,2048,1024,50.0,simulated,4d4c308,2026-03-24T07:10:32Z
ai_llm,attn_score->softmax,rate,4096,1024,0,4096,1024,75.0,simulated,4d4c308,2026-03-24T07:10:32Z
ai_llm,attn_score->softmax,tile_shape,"[32, 128]",[1024],0,4096,1024,75.0,simulated,4d4c308,2026-03-24T07:10:32Z
ai_llm,attn_score->softmax,visibility,LOCAL_SPM,LOCAL_SPM,1,4096,1024,75.0,simulated,4d4c308,2026-03-24T07:10:32Z
ai_llm,attn_score->softmax,double_buffering,False,False,1,4096,1024,75.0,simulated,4d4c308,2026-03-24T07:10:32Z
ai_llm,attn_score->softmax,backpressure,N/A,BLOCK,0,4096,1024,75.0,simulated,4d4c308,2026-03-24T07:10:32Z
ai_llm,softmax->attn_output,rate,4096,1024,0,4096,1024,75.0,simulated,4d4c308,2026-03-24T07:10:32Z
ai_llm,softmax->attn_output,tile_shape,"[32, 128]",[1024],0,4096,1024,75.0,simulated,4d4c308,2026-03-24T07:10:32Z
ai_llm,softmax->attn_output,visibility,LOCAL_SPM,LOCAL_SPM,1,4096,1024,75.0,simulated,4d4c308,2026-03-24T07:10:32Z
ai_llm,softmax->attn_output,double_buffering,False,False,1,4096,1024,75.0,simulated,4d4c308,2026-03-24T07:10:32Z
ai_llm,softmax->attn_output,backpressure,N/A,BLOCK,0,4096,1024,75.0,simulated,4d4c308,2026-03-24T07:10:32Z
ai_llm,attn_output->ffn1,rate,16384,1024,0,16384,1024,93.75,simulated,4d4c308,2026-03-24T07:10:32Z
ai_llm,attn_output->ffn1,tile_shape,"[32, 512]",[1024],0,16384,1024,93.75,simulated,4d4c308,2026-03-24T07:10:32Z
ai_llm,attn_output->ffn1,visibility,LOCAL_SPM,LOCAL_SPM,1,16384,1024,93.75,simulated,4d4c308,2026-03-24T07:10:32Z
ai_llm,attn_output->ffn1,double_buffering,True,False,0,16384,1024,93.75,simulated,4d4c308,2026-03-24T07:10:32Z
ai_llm,attn_output->ffn1,backpressure,N/A,BLOCK,0,16384,1024,93.75,simulated,4d4c308,2026-03-24T07:10:32Z
ai_llm,ffn1->gelu,rate,65536,1024,0,65536,1024,98.44,simulated,4d4c308,2026-03-24T07:10:32Z
ai_llm,ffn1->gelu,tile_shape,"[32, 2048]",[1024],0,65536,1024,98.44,simulated,4d4c308,2026-03-24T07:10:32Z
ai_llm,ffn1->gelu,visibility,LOCAL_SPM,LOCAL_SPM,1,65536,1024,98.44,simulated,4d4c308,2026-03-24T07:10:32Z
ai_llm,ffn1->gelu,double_buffering,False,False,1,65536,1024,98.44,simulated,4d4c308,2026-03-24T07:10:32Z
ai_llm,ffn1->gelu,backpressure,N/A,BLOCK,0,65536,1024,98.44,simulated,4d4c308,2026-03-24T07:10:32Z
ai_llm,gelu->ffn2,rate,65536,1024,0,65536,1024,98.44,simulated,4d4c308,2026-03-24T07:10:32Z
ai_llm,gelu->ffn2,tile_shape,"[32, 2048]",[1024],0,65536,1024,98.44,simulated,4d4c308,2026-03-24T07:10:32Z
ai_llm,gelu->ffn2,visibility,LOCAL_SPM,LOCAL_SPM,1,65536,1024,98.44,simulated,4d4c308,2026-03-24T07:10:32Z
ai_llm,gelu->ffn2,double_buffering,False,False,1,65536,1024,98.44,simulated,4d4c308,2026-03-24T07:10:32Z
ai_llm,gelu->ffn2,backpressure,N/A,BLOCK,0,65536,1024,98.44,simulated,4d4c308,2026-03-24T07:10:32Z
