domain,compiler,mapping_success_rate,avg_ii,total_cost,iterations,compile_time_ms,git_hash,timestamp
ai_llm,hierarchical,1.0,30.0,92672.0,1,0.1,4d4c308,2026-03-24T07:04:52Z
ai_llm,greedy,1.0,30.0,117248.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
ai_llm,random,1.0,30.0,129536.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
ai_llm,random_seed42,1.0,30.0,157696.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
ai_llm,random_seed137,1.0,30.0,129536.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
ai_llm,random_seed256,1.0,30.0,170496.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
ai_llm,random_seed512,1.0,30.0,174592.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
ai_llm,random_seed1024,1.0,30.0,144896.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
dsp_ofdm,hierarchical,1.0,11.0,36342.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
dsp_ofdm,greedy,1.0,11.0,53026.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
dsp_ofdm,random,1.0,11.0,37914.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
dsp_ofdm,random_seed42,1.0,11.0,37914.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
dsp_ofdm,random_seed137,1.0,11.0,44834.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
dsp_ofdm,random_seed256,1.0,11.0,57122.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
dsp_ofdm,random_seed512,1.0,11.0,44834.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
dsp_ofdm,random_seed1024,1.0,11.0,52726.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
arvr_stereo,hierarchical,1.0,16.0,100352.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
arvr_stereo,greedy,1.0,16.0,101376.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
arvr_stereo,random,1.0,16.0,52224.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
arvr_stereo,random_seed42,1.0,16.0,115712.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
arvr_stereo,random_seed137,1.0,16.0,116736.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
arvr_stereo,random_seed256,1.0,16.0,116736.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
arvr_stereo,random_seed512,1.0,16.0,52224.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
arvr_stereo,random_seed1024,1.0,16.0,101376.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
robotics_vio,hierarchical,1.0,13.6,34268.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
robotics_vio,greedy,1.0,13.6,38364.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
robotics_vio,random,1.0,13.6,33868.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
robotics_vio,random_seed42,1.0,13.6,54748.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
robotics_vio,random_seed137,1.0,13.6,58744.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
robotics_vio,random_seed256,1.0,13.6,34118.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
robotics_vio,random_seed512,1.0,13.6,41460.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
robotics_vio,random_seed1024,1.0,13.6,33868.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
graph_analytics,hierarchical,1.0,18.0,33280.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
graph_analytics,greedy,1.0,18.0,41216.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
graph_analytics,random,1.0,18.0,33280.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
graph_analytics,random_seed42,1.0,18.0,49664.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
graph_analytics,random_seed137,1.0,18.0,49920.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
graph_analytics,random_seed256,1.0,18.0,41216.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
graph_analytics,random_seed512,1.0,18.0,33280.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
graph_analytics,random_seed1024,1.0,18.0,33536.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
zk_stark,hierarchical,1.0,24.8,65795.75,1,0.0,4d4c308,2026-03-24T07:04:52Z
zk_stark,greedy,1.0,24.8,65859.75,1,0.0,4d4c308,2026-03-24T07:04:52Z
zk_stark,random,1.0,24.8,69955.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
zk_stark,random_seed42,1.0,24.8,98563.75,1,0.0,4d4c308,2026-03-24T07:04:52Z
zk_stark,random_seed137,1.0,24.8,69955.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
zk_stark,random_seed256,1.0,24.8,74048.75,1,0.0,4d4c308,2026-03-24T07:04:52Z
zk_stark,random_seed512,1.0,24.8,69955.0,1,0.0,4d4c308,2026-03-24T07:04:52Z
zk_stark,random_seed1024,1.0,24.8,82243.75,1,0.0,4d4c308,2026-03-24T07:04:52Z
