core_type,tier,bo_iteration,pe_type,array_rows,array_cols,pe_count,fu_alu,fu_mul,fu_fp,fu_mem,spm_kb,area_um2,all_kernels_mapped,avg_ii,assigned_kernels,git_hash,timestamp
ctrl,tier1,0,spatial_pe,6,6,36,4,1,0,2,8,491596.0,1,2.88,8,4d4c308,2026-03-24T07:06:15Z
ctrl,tier2,1,spatial_pe,6,6,36,5,0,1,3,12,502644.0,0,2.86,8,4d4c308,2026-03-24T07:06:15Z
ctrl,tier2,2,spatial_pe,7,6,42,4,2,1,3,12,584644.0,1,2.88,8,4d4c308,2026-03-24T07:06:15Z
ctrl,tier2,3,spatial_pe,6,6,36,4,0,0,2,4,485048.0,0,3.0,8,4d4c308,2026-03-24T07:06:15Z
ctrl,tier2,4,spatial_pe,6,6,36,3,1,0,1,12,488144.0,1,5.75,8,4d4c308,2026-03-24T07:06:15Z
ctrl,tier2,5,spatial_pe,6,6,36,4,2,0,2,16,500192.0,1,2.88,8,4d4c308,2026-03-24T07:06:15Z
ctrl,tier2,6,spatial_pe,7,6,42,3,2,1,1,16,577692.0,1,5.75,8,4d4c308,2026-03-24T07:06:15Z
ctrl,tier2,7,spatial_pe,6,6,36,4,0,0,2,12,489144.0,0,3.0,8,4d4c308,2026-03-24T07:06:15Z
ctrl,tier2,8,spatial_pe,6,6,36,3,1,0,1,16,490192.0,1,5.75,8,4d4c308,2026-03-24T07:06:15Z
ctrl,tier2,9,spatial_pe,6,6,36,4,0,1,2,12,497144.0,0,3.0,8,4d4c308,2026-03-24T07:06:15Z
ctrl,tier2,10,spatial_pe,6,6,36,3,1,0,1,8,486096.0,1,5.75,8,4d4c308,2026-03-24T07:06:15Z
ctrl,tier2,11,spatial_pe,6,6,36,4,1,0,1,8,488096.0,1,5.75,8,4d4c308,2026-03-24T07:06:15Z
ctrl,tier2,12,spatial_pe,6,6,36,4,2,0,2,4,494048.0,1,2.88,8,4d4c308,2026-03-24T07:06:15Z
ctrl,tier2,13,spatial_pe,6,6,36,2,1,1,1,4,490048.0,1,5.75,8,4d4c308,2026-03-24T07:06:15Z
ctrl,tier2,14,spatial_pe,6,6,36,2,0,1,1,12,489644.0,0,6.0,8,4d4c308,2026-03-24T07:06:15Z
ctrl,tier2,15,spatial_pe,7,6,42,2,0,1,2,12,568144.0,0,5.86,8,4d4c308,2026-03-24T07:06:15Z
ctrl,tier2,16,spatial_pe,6,7,42,4,0,1,1,8,566596.0,0,6.0,8,4d4c308,2026-03-24T07:06:15Z
