domain,constraint,candidates_eliminated,elimination_fraction,git_hash,timestamp
ai_llm,l2_size_kb,1200,1.0,4d4c308,2026-03-24T07:06:49Z
ai_llm,noc_bandwidth,900,0.75,4d4c308,2026-03-24T07:06:49Z
ai_llm,total_cores,660,0.55,4d4c308,2026-03-24T07:06:49Z
ai_llm,core_type_count,0,0.0,4d4c308,2026-03-24T07:06:49Z
dsp_ofdm,noc_bandwidth,900,0.75,4d4c308,2026-03-24T07:06:49Z
dsp_ofdm,total_cores,540,0.45,4d4c308,2026-03-24T07:06:49Z
dsp_ofdm,core_type_count,480,0.4,4d4c308,2026-03-24T07:06:49Z
dsp_ofdm,l2_size_kb,240,0.2,4d4c308,2026-03-24T07:06:49Z
arvr_stereo,l2_size_kb,1200,1.0,4d4c308,2026-03-24T07:06:49Z
arvr_stereo,noc_bandwidth,900,0.75,4d4c308,2026-03-24T07:06:49Z
arvr_stereo,total_cores,480,0.4,4d4c308,2026-03-24T07:06:49Z
arvr_stereo,core_type_count,240,0.2,4d4c308,2026-03-24T07:06:49Z
robotics_vio,noc_bandwidth,900,0.75,4d4c308,2026-03-24T07:06:49Z
robotics_vio,core_type_count,480,0.4,4d4c308,2026-03-24T07:06:49Z
robotics_vio,total_cores,480,0.4,4d4c308,2026-03-24T07:06:49Z
robotics_vio,l2_size_kb,0,0.0,4d4c308,2026-03-24T07:06:49Z
graph_analytics,noc_bandwidth,900,0.75,4d4c308,2026-03-24T07:06:49Z
graph_analytics,total_cores,300,0.25,4d4c308,2026-03-24T07:06:49Z
graph_analytics,core_type_count,240,0.2,4d4c308,2026-03-24T07:06:49Z
graph_analytics,l2_size_kb,0,0.0,4d4c308,2026-03-24T07:06:49Z
zk_stark,noc_bandwidth,900,0.75,4d4c308,2026-03-24T07:06:49Z
zk_stark,total_cores,480,0.4,4d4c308,2026-03-24T07:06:49Z
zk_stark,l2_size_kb,0,0.0,4d4c308,2026-03-24T07:06:49Z
zk_stark,core_type_count,0,0.0,4d4c308,2026-03-24T07:06:49Z
