design_point_id,tier1_throughput,tier1_area,tier2_throughput,tier2_area,tier2_mapped_count,num_core_types,total_cores,noc_topology,noc_bandwidth,l2_size_kb,git_hash,timestamp
0,1.4e-07,10930424.0,0.00175373,10930424.0,13,4,23,mesh,3,512,4d4c308,2026-03-24T07:07:06Z
1,1.4e-07,8847396.0,0.00233196,8847396.0,13,4,21,ring,4,512,4d4c308,2026-03-24T07:07:06Z
2,1.4e-07,3103372.0,0.00173618,3103372.0,18,4,8,mesh,3,512,4d4c308,2026-03-24T07:07:06Z
7,1.4e-07,6762248.0,0.00117154,6762248.0,2,4,24,mesh,2,128,4d4c308,2026-03-24T07:07:06Z
14,1.4e-07,8326612.0,0.00173936,8326612.0,17,5,18,ring,3,256,4d4c308,2026-03-24T07:07:06Z
17,1.4e-07,9234368.0,0.0017453,9234368.0,31,4,19,ring,3,256,4d4c308,2026-03-24T07:07:06Z
20,1.4e-07,6148568.0,0.00117178,6148568.0,10,4,18,ring,2,256,4d4c308,2026-03-24T07:07:06Z
21,1.4e-07,13663276.0,0.00058606,13663276.0,29,5,28,ring,1,512,4d4c308,2026-03-24T07:07:06Z
24,1.4e-07,5421976.0,0.00233086,5421976.0,9,4,14,hierarchical,4,512,4d4c308,2026-03-24T07:07:06Z
29,1.4e-07,12008892.0,0.00115982,12008892.0,23,4,22,ring,2,1024,4d4c308,2026-03-24T07:07:06Z
32,1.4e-07,9257896.0,0.00233779,9257896.0,19,5,22,mesh,4,512,4d4c308,2026-03-24T07:07:06Z
36,1.4e-07,10695040.0,0.00116979,10695040.0,29,4,18,hierarchical,2,512,4d4c308,2026-03-24T07:07:06Z
43,1.4e-07,7671052.0,0.00173371,7671052.0,20,5,18,ring,3,512,4d4c308,2026-03-24T07:07:06Z
46,1.4e-07,5378380.0,0.00232143,5378380.0,24,4,12,mesh,4,512,4d4c308,2026-03-24T07:07:06Z
55,1.4e-07,5175280.0,0.00058811,5175280.0,1,4,20,mesh,1,512,4d4c308,2026-03-24T07:07:06Z
57,1.4e-07,5858128.0,0.00117175,5858128.0,25,4,11,mesh,2,1024,4d4c308,2026-03-24T07:07:06Z
59,1.4e-07,12708228.0,0.00116563,12708228.0,29,5,22,ring,2,1024,4d4c308,2026-03-24T07:07:06Z
60,1.4e-07,7900356.0,0.00116703,7900356.0,18,4,21,ring,2,1024,4d4c308,2026-03-24T07:07:06Z
64,1.4e-07,6839984.0,0.00117168,6839984.0,9,4,22,hierarchical,2,256,4d4c308,2026-03-24T07:07:06Z
65,1.4e-07,7097864.0,0.00058706,7097864.0,24,4,17,ring,1,512,4d4c308,2026-03-24T07:07:06Z
67,1.4e-07,7239076.0,0.00116127,7239076.0,26,4,18,ring,2,1024,4d4c308,2026-03-24T07:07:06Z
68,1.4e-07,6603904.0,0.00175285,6603904.0,19,4,14,hierarchical,3,512,4d4c308,2026-03-24T07:07:06Z
70,1.4e-07,5821740.0,0.00116648,5821740.0,9,4,20,hierarchical,2,256,4d4c308,2026-03-24T07:07:06Z
74,1.4e-07,6745236.0,0.00117255,6745236.0,15,5,14,ring,2,1024,4d4c308,2026-03-24T07:07:06Z
78,1.4e-07,12277768.0,0.00117268,12277768.0,13,5,30,mesh,2,256,4d4c308,2026-03-24T07:07:06Z
80,1.4e-07,8998964.0,0.0023228,8998964.0,18,4,22,mesh,4,1024,4d4c308,2026-03-24T07:07:06Z
81,1.4e-07,7907468.0,0.00175651,7907468.0,14,5,22,hierarchical,3,256,4d4c308,2026-03-24T07:07:06Z
85,1.4e-07,6056392.0,0.00174535,6056392.0,18,4,15,ring,3,1024,4d4c308,2026-03-24T07:07:06Z
89,1.4e-07,9401512.0,0.001751,9401512.0,28,5,19,ring,3,512,4d4c308,2026-03-24T07:07:06Z
90,1.4e-07,8482228.0,0.00228682,8482228.0,5,5,27,mesh,4,1024,4d4c308,2026-03-24T07:07:06Z
92,1.4e-07,14693012.0,0.00232099,14693012.0,23,5,32,ring,4,128,4d4c308,2026-03-24T07:07:06Z
93,1.4e-07,3499552.0,0.0017514,3499552.0,10,4,9,ring,3,1024,4d4c308,2026-03-24T07:07:06Z
95,1.4e-07,5774472.0,0.00117189,5774472.0,10,4,15,mesh,2,1024,4d4c308,2026-03-24T07:07:06Z
96,1.4e-07,6440712.0,0.00175069,6440712.0,9,4,13,ring,3,512,4d4c308,2026-03-24T07:07:06Z
98,1.4e-07,6928248.0,0.0005871,6928248.0,23,5,17,mesh,1,512,4d4c308,2026-03-24T07:07:06Z
99,1.4e-07,8560824.0,0.00058602,8560824.0,13,4,21,mesh,1,1024,4d4c308,2026-03-24T07:07:06Z
