config,kernel,domain,mapped,core_type_idx,ii,throughput,git_hash,timestamp
hetero,qkv_proj,ai_llm,1,3,16,0.0625,4d4c308,2026-03-24T07:07:12Z
hetero,attn_score,ai_llm,1,2,12,0.08333333,4d4c308,2026-03-24T07:07:12Z
hetero,softmax,ai_llm,1,3,2,0.5,4d4c308,2026-03-24T07:07:12Z
hetero,attn_output,ai_llm,1,2,12,0.08333333,4d4c308,2026-03-24T07:07:12Z
hetero,ffn1,ai_llm,1,3,16,0.0625,4d4c308,2026-03-24T07:07:12Z
hetero,gelu,ai_llm,1,2,2,0.5,4d4c308,2026-03-24T07:07:12Z
hetero,ffn2,ai_llm,1,3,16,0.0625,4d4c308,2026-03-24T07:07:12Z
hetero,layernorm,ai_llm,1,3,4,0.25,4d4c308,2026-03-24T07:07:12Z
hetero,fft_butterfly,dsp_ofdm,1,2,8,0.125,4d4c308,2026-03-24T07:07:12Z
hetero,channel_est,dsp_ofdm,1,2,4,0.25,4d4c308,2026-03-24T07:07:12Z
hetero,equalizer,dsp_ofdm,1,2,3,0.33333333,4d4c308,2026-03-24T07:07:12Z
hetero,qam_demod,dsp_ofdm,1,1,3,0.33333333,4d4c308,2026-03-24T07:07:12Z
hetero,viterbi,dsp_ofdm,1,1,6,0.16666667,4d4c308,2026-03-24T07:07:12Z
hetero,crc_check,dsp_ofdm,1,0,2,0.5,4d4c308,2026-03-24T07:07:12Z
hetero,harris_corner,arvr_stereo,1,2,4,0.25,4d4c308,2026-03-24T07:07:12Z
hetero,sad_matching,arvr_stereo,1,1,6,0.16666667,4d4c308,2026-03-24T07:07:12Z
hetero,stereo_disparity,arvr_stereo,1,3,4,0.25,4d4c308,2026-03-24T07:07:12Z
hetero,image_warp,arvr_stereo,1,2,3,0.33333333,4d4c308,2026-03-24T07:07:12Z
hetero,post_filter,arvr_stereo,1,2,5,0.2,4d4c308,2026-03-24T07:07:12Z
hetero,imu_integration,robotics_vio,1,3,3,0.33333333,4d4c308,2026-03-24T07:07:12Z
hetero,fast_detect,robotics_vio,1,1,4,0.25,4d4c308,2026-03-24T07:07:12Z
hetero,orb_descriptor,robotics_vio,1,1,3,0.33333333,4d4c308,2026-03-24T07:07:12Z
hetero,feature_match,robotics_vio,1,1,3,0.33333333,4d4c308,2026-03-24T07:07:12Z
hetero,pose_estimate,robotics_vio,1,2,6,0.16666667,4d4c308,2026-03-24T07:07:12Z
