core_type,fu_type,optimal_count,default_count,demand_ops,used_by_kernels,kernel_names,area_contribution,git_hash,timestamp
ctrl,alu,5,4,160,8,qam_demod;viterbi;fast_detect;orb_descriptor;feature_match,10000.0,4d4c308,2026-03-24T07:07:18Z
ctrl,mul,1,1,2,1,qam_demod,4500.0,4d4c308,2026-03-24T07:07:18Z
ctrl,fp,0,0,0,0,,0.0,4d4c308,2026-03-24T07:07:18Z
ctrl,mem,3,2,66,8,qam_demod;viterbi;fast_detect;orb_descriptor;feature_match,10500.0,4d4c308,2026-03-24T07:07:18Z
gp,alu,6,3,46,2,crc_check;sad_matching,12000.0,4d4c308,2026-03-24T07:07:18Z
gp,mul,0,2,0,0,,0.0,4d4c308,2026-03-24T07:07:18Z
gp,fp,0,1,0,0,,0.0,4d4c308,2026-03-24T07:07:18Z
gp,mem,2,2,13,2,crc_check;sad_matching,7000.0,4d4c308,2026-03-24T07:07:18Z
dsp,alu,4,2,78,5,ntt;msm;poseidon_hash;poly_eval;proof_compose,8000.0,4d4c308,2026-03-24T07:07:18Z
dsp,mul,4,3,70,5,ntt;msm;poseidon_hash;poly_eval;proof_compose,18000.0,4d4c308,2026-03-24T07:07:18Z
dsp,fp,0,2,0,0,,0.0,4d4c308,2026-03-24T07:07:18Z
dsp,mem,3,2,44,5,ntt;msm;poseidon_hash;poly_eval;proof_compose,10500.0,4d4c308,2026-03-24T07:07:18Z
ai,alu,1,2,17,6,softmax;layernorm;fft_butterfly;harris_corner;stereo_disparity,2000.0,4d4c308,2026-03-24T07:07:18Z
ai,mul,0,2,0,0,,0.0,4d4c308,2026-03-24T07:07:18Z
ai,fp,8,4,522,18,qkv_proj;attn_score;softmax;attn_output;ffn1,64000.0,4d4c308,2026-03-24T07:07:18Z
ai,mem,3,2,209,18,qkv_proj;attn_score;softmax;attn_output;ffn1,10500.0,4d4c308,2026-03-24T07:07:18Z
