domain,kernel,op_type,op_category,op_count,op_fraction,git_hash,timestamp
ai_llm,qkv_proj,fmul,fp,32,0.3636,4d4c308,2026-03-24T07:07:18Z
ai_llm,qkv_proj,fadd,fp,32,0.3636,4d4c308,2026-03-24T07:07:18Z
ai_llm,qkv_proj,load,mem,16,0.1818,4d4c308,2026-03-24T07:07:18Z
ai_llm,qkv_proj,store,mem,8,0.0909,4d4c308,2026-03-24T07:07:18Z
ai_llm,attn_score,fmul,fp,24,0.3636,4d4c308,2026-03-24T07:07:18Z
ai_llm,attn_score,fadd,fp,24,0.3636,4d4c308,2026-03-24T07:07:18Z
ai_llm,attn_score,load,mem,12,0.1818,4d4c308,2026-03-24T07:07:18Z
ai_llm,attn_score,store,mem,6,0.0909,4d4c308,2026-03-24T07:07:18Z
ai_llm,softmax,fadd,fp,8,0.4,4d4c308,2026-03-24T07:07:18Z
ai_llm,softmax,fmul,fp,4,0.2,4d4c308,2026-03-24T07:07:18Z
ai_llm,softmax,load,mem,4,0.2,4d4c308,2026-03-24T07:07:18Z
ai_llm,softmax,store,mem,2,0.1,4d4c308,2026-03-24T07:07:18Z
ai_llm,softmax,cmp,control,2,0.1,4d4c308,2026-03-24T07:07:18Z
ai_llm,attn_output,fmul,fp,24,0.3636,4d4c308,2026-03-24T07:07:18Z
ai_llm,attn_output,fadd,fp,24,0.3636,4d4c308,2026-03-24T07:07:18Z
ai_llm,attn_output,load,mem,12,0.1818,4d4c308,2026-03-24T07:07:18Z
ai_llm,attn_output,store,mem,6,0.0909,4d4c308,2026-03-24T07:07:18Z
ai_llm,ffn1,fmul,fp,32,0.3636,4d4c308,2026-03-24T07:07:18Z
ai_llm,ffn1,fadd,fp,32,0.3636,4d4c308,2026-03-24T07:07:18Z
ai_llm,ffn1,load,mem,16,0.1818,4d4c308,2026-03-24T07:07:18Z
ai_llm,ffn1,store,mem,8,0.0909,4d4c308,2026-03-24T07:07:18Z
ai_llm,gelu,fmul,fp,6,0.4286,4d4c308,2026-03-24T07:07:18Z
ai_llm,gelu,fadd,fp,4,0.2857,4d4c308,2026-03-24T07:07:18Z
ai_llm,gelu,load,mem,2,0.1429,4d4c308,2026-03-24T07:07:18Z
ai_llm,gelu,store,mem,2,0.1429,4d4c308,2026-03-24T07:07:18Z
ai_llm,ffn2,fmul,fp,32,0.3636,4d4c308,2026-03-24T07:07:18Z
ai_llm,ffn2,fadd,fp,32,0.3636,4d4c308,2026-03-24T07:07:18Z
ai_llm,ffn2,load,mem,16,0.1818,4d4c308,2026-03-24T07:07:18Z
ai_llm,ffn2,store,mem,8,0.0909,4d4c308,2026-03-24T07:07:18Z
ai_llm,layernorm,fadd,fp,12,0.4138,4d4c308,2026-03-24T07:07:18Z
ai_llm,layernorm,fmul,fp,8,0.2759,4d4c308,2026-03-24T07:07:18Z
ai_llm,layernorm,load,mem,6,0.2069,4d4c308,2026-03-24T07:07:18Z
ai_llm,layernorm,store,mem,2,0.069,4d4c308,2026-03-24T07:07:18Z
ai_llm,layernorm,cmp,control,1,0.0345,4d4c308,2026-03-24T07:07:18Z
dsp_ofdm,fft_butterfly,fmul,fp,16,0.3333,4d4c308,2026-03-24T07:07:18Z
dsp_ofdm,fft_butterfly,fadd,fp,16,0.3333,4d4c308,2026-03-24T07:07:18Z
dsp_ofdm,fft_butterfly,load,mem,8,0.1667,4d4c308,2026-03-24T07:07:18Z
dsp_ofdm,fft_butterfly,store,mem,4,0.0833,4d4c308,2026-03-24T07:07:18Z
dsp_ofdm,fft_butterfly,shift,alu,4,0.0833,4d4c308,2026-03-24T07:07:18Z
dsp_ofdm,channel_est,fmul,fp,12,0.4138,4d4c308,2026-03-24T07:07:18Z
dsp_ofdm,channel_est,fadd,fp,8,0.2759,4d4c308,2026-03-24T07:07:18Z
