domain,mode,best_throughput,best_area,throughput_per_area,pareto_size,total_time_min
ai_llm,sw_only,0.00541695,6773.28,7.998e-07,1,4.0
ai_llm,hw_only,0.00488132,5930.13,8.231e-07,2,26.2
ai_llm,co_opt,0.00610076,5716.97,1.0671e-06,5,15.1
dsp_ofdm,sw_only,0.0237563,5091.36,4.666e-06,1,3.0
dsp_ofdm,hw_only,0.02302691,4345.74,5.2987e-06,2,25.9
dsp_ofdm,co_opt,0.02939882,4220.61,6.9655e-06,5,14.45
arvr_stereo,sw_only,0.00402327,4250.4,9.466e-07,1,2.5
arvr_stereo,hw_only,0.00340645,3627.94,9.389e-07,2,25.75
arvr_stereo,co_opt,0.00434907,3523.48,1.2343e-06,5,14.12
robotics_vio,sw_only,0.03378869,4250.4,7.9495e-06,1,2.5
robotics_vio,hw_only,0.03290323,3627.94,9.0694e-06,2,25.75
robotics_vio,co_opt,0.04200807,3523.48,1.19223e-05,5,14.12
graph_analytics,sw_only,0.04532481,3409.44,1.32939e-05,1,2.0
graph_analytics,hw_only,0.04420943,2910.13,1.51916e-05,2,25.6
graph_analytics,co_opt,0.05644288,2826.34,1.99703e-05,5,13.8
zk_stark,sw_only,0.03972973,4250.4,9.3473e-06,1,2.5
zk_stark,hw_only,0.03879064,3627.94,1.06922e-05,2,25.75
zk_stark,co_opt,0.04952463,3523.48,1.40556e-05,5,14.12
