initial_config,round,throughput,area
spectral,1,0.00531202,6454.1
spectral,2,0.00560418,6220.14
spectral,3,0.00580967,6069.82
spectral,4,0.00596944,5959.8
spectral,5,0.00610076,5873.39
spectral,6,0.00621261,5802.42
spectral,7,0.00631024,5742.32
spectral,8,0.006397,5690.28
spectral,9,0.00647519,5644.44
spectral,10,0.00654642,5603.52
homogeneous_gp,1,0.00343606,6453.57
homogeneous_gp,2,0.00356835,6289.81
homogeneous_gp,3,0.00365994,6183.41
homogeneous_gp,4,0.00373039,6104.96
homogeneous_gp,5,0.00378784,6042.99
homogeneous_gp,6,0.00383645,5991.88
homogeneous_gp,7,0.00387865,5948.44
homogeneous_gp,8,0.00391599,5910.7
homogeneous_dsp,1,0.00470947,6731.53
homogeneous_dsp,2,0.00490374,6548.51
homogeneous_dsp,3,0.00503859,6429.82
homogeneous_dsp,4,0.00514251,6342.42
homogeneous_dsp,5,0.00522736,6273.44
homogeneous_dsp,6,0.00529924,6216.59
homogeneous_dsp,7,0.00536169,6168.3
homogeneous_dsp,8,0.00541698,6126.37
homogeneous_dsp,9,0.00546664,6089.36
random_fu,1,0.00510145,7881.18
random_fu,2,0.0052698,7709.76
random_fu,3,0.00538574,7597.97
random_fu,4,0.0054746,7515.34
random_fu,5,0.00554687,7449.96
random_fu,6,0.00560788,7395.95
random_fu,7,0.00566076,7349.99
oversized,1,0.00512778,29957.06
oversized,2,0.00531109,29251.19
oversized,3,0.00543767,28791.71
oversized,4,0.00553487,28452.5
oversized,5,0.00561402,28184.34
oversized,6,0.00568092,27962.97
oversized,7,0.00573895,27774.72
oversized,8,0.00579024,27611.11
