kernel,domain,cgra_nodes,cgra_ii,cgra_ops_per_cycle,cgra_throughput_gops,cpu_baseline_cat,cpu_1t_gops,cpu_16t_gops,gpu_baseline_cat,gpu_gops,speedup_vs_cpu1t,speedup_vs_gpu,git_hash,timestamp
attn_output,ai_llm,64,3,21.33,10.67,attention,4.14,52.8,attention_gpu,30408.7,2.58,0.000351,4d4c308,2026-03-24T07:04:04Z
attn_score,ai_llm,97,8,12.12,6.06,attention,4.14,52.8,attention_gpu,30408.7,1.46,0.000199,4d4c308,2026-03-24T07:04:04Z
crc_check,dsp_ofdm,23,2,11.5,5.75,integer_stream,12.0,120.0,integer_stream,1500.0,0.48,0.003833,4d4c308,2026-03-24T07:04:04Z
ffn1,ai_llm,73,8,9.12,4.56,matmul,3.55,288.3,matmul_cublas,45401.35,1.29,0.0001,4d4c308,2026-03-24T07:04:04Z
ffn2,ai_llm,73,8,9.12,4.56,matmul,3.55,288.3,matmul_cublas,45401.35,1.29,0.0001,4d4c308,2026-03-24T07:04:04Z
gelu,ai_llm,73,29,2.52,1.26,elementwise,8.2,95.0,elementwise,5200.0,0.15,0.000242,4d4c308,2026-03-24T07:04:04Z
image_warp,arvr_stereo,66,3,22.0,11.0,interpolation,5.1,58.0,interpolation,2800.0,2.16,0.003929,4d4c308,2026-03-24T07:04:04Z
label_prop,graph_analytics,38,2,19.0,9.5,spmv,2.1,18.5,spmv_cusparse,209.04,4.52,0.045446,4d4c308,2026-03-24T07:04:04Z
layernorm,ai_llm,42,2,21.0,10.5,reduction,6.5,72.0,reduction,3800.0,1.62,0.002763,4d4c308,2026-03-24T07:04:04Z
poly_eval,zk_stark,82,15,5.47,2.73,ntt,1.8,15.2,ntt_m31_gpu,281.7,1.52,0.009703,4d4c308,2026-03-24T07:04:04Z
qkv_proj,ai_llm,65,4,16.25,8.12,matmul,3.55,288.3,matmul_cublas,45401.35,2.29,0.000179,4d4c308,2026-03-24T07:04:04Z
sad_matching,arvr_stereo,95,4,23.75,11.88,block_match,3.8,42.0,block_match,1200.0,3.12,0.009896,4d4c308,2026-03-24T07:04:04Z
softmax,ai_llm,26,4,6.5,3.25,attention,4.14,52.8,attention_gpu,30408.7,0.79,0.000107,4d4c308,2026-03-24T07:04:04Z
triangle_count,graph_analytics,31,2,15.5,7.75,spmv,2.1,18.5,spmv_cusparse,209.04,3.69,0.037074,4d4c308,2026-03-24T07:04:04Z
