design,component,area_um2,area_mm2,frequency_mhz,timing_met,total_power_mw,leakage_power_mw,cell_count,data_source,git_hash,timestamp
design_A_hetero_2core,pe_array,196800.0,0.1968,500.0,True,24.6,0.492,8200,estimated,4d4c308,2026-03-24T07:04:07Z
design_A_hetero_2core,noc_router,17711.16,0.0177,500.0,True,13.56,0.006,37604,real_dc,4d4c308,2026-03-24T07:04:07Z
design_A_hetero_2core,spm_bank,268361.6,0.2684,500.0,True,154.07,0.1054,499456,real_dc,4d4c308,2026-03-24T07:04:07Z
design_A_hetero_2core,l2_bank,536723.2,0.5367,500.0,True,269.63,0.2109,998912,estimated,4d4c308,2026-03-24T07:04:07Z
design_A_hetero_2core,dma_ctrl,6641.68,0.0066,500.0,True,4.07,0.0023,14101,estimated,4d4c308,2026-03-24T07:04:07Z
design_A_hetero_2core,system_total,1026237.65,1.0262,500.0,True,465.93,0,0,estimated,4d4c308,2026-03-24T07:04:07Z
design_B_hetero_4core,pe_array,240000.0,0.24,500.0,True,30.0,0.6,10000,estimated,4d4c308,2026-03-24T07:04:07Z
design_B_hetero_4core,noc_router,35422.32,0.0354,500.0,True,27.11,0.012,75208,real_dc,4d4c308,2026-03-24T07:04:07Z
design_B_hetero_4core,spm_bank,536723.2,0.5367,500.0,True,308.15,0.2109,998912,real_dc,4d4c308,2026-03-24T07:04:07Z
design_B_hetero_4core,l2_bank,1073446.4,1.0734,500.0,True,539.26,0.4218,1997824,estimated,4d4c308,2026-03-24T07:04:07Z
design_B_hetero_4core,dma_ctrl,6641.68,0.0066,500.0,True,4.07,0.0023,14101,estimated,4d4c308,2026-03-24T07:04:07Z
design_B_hetero_4core,system_total,1892233.6,1.8922,500.0,True,908.59,0,0,estimated,4d4c308,2026-03-24T07:04:07Z
design_C_homo_4core,pe_array,307200.0,0.3072,500.0,True,38.4,0.768,12800,estimated,4d4c308,2026-03-24T07:04:07Z
design_C_homo_4core,noc_router,35422.32,0.0354,500.0,True,27.11,0.012,75208,real_dc,4d4c308,2026-03-24T07:04:07Z
design_C_homo_4core,spm_bank,536723.2,0.5367,500.0,True,308.15,0.2109,998912,real_dc,4d4c308,2026-03-24T07:04:07Z
design_C_homo_4core,l2_bank,1073446.4,1.0734,500.0,True,539.26,0.4218,1997824,estimated,4d4c308,2026-03-24T07:04:07Z
design_C_homo_4core,dma_ctrl,6641.68,0.0066,500.0,True,4.07,0.0023,14101,estimated,4d4c308,2026-03-24T07:04:07Z
design_C_homo_4core,system_total,1959433.6,1.9594,500.0,True,916.99,0,0,estimated,4d4c308,2026-03-24T07:04:07Z
