kernel,fu_variant,pe_count,fu_count,mapped,II,area_um2,domain,git_hash,timestamp
qkv_proj,single_op,28,112,True,4,42460,ai_llm,4d4c308,2026-03-24T07:03:33Z
qkv_proj,fused_dag,21,84,True,4,54450,ai_llm,4d4c308,2026-03-24T07:03:33Z
qkv_proj,configurable,28,112,True,4,64183,ai_llm,4d4c308,2026-03-24T07:03:33Z
softmax,single_op,27,107,True,3,41040,ai_llm,4d4c308,2026-03-24T07:03:33Z
softmax,fused_dag,19,75,True,3,53470,ai_llm,4d4c308,2026-03-24T07:03:33Z
softmax,configurable,27,107,True,3,63665,ai_llm,4d4c308,2026-03-24T07:03:33Z
gelu,single_op,34,135,True,3,58550,ai_llm,4d4c308,2026-03-24T07:03:33Z
gelu,fused_dag,27,107,True,3,72778,ai_llm,4d4c308,2026-03-24T07:03:33Z
gelu,configurable,34,135,True,3,83890,ai_llm,4d4c308,2026-03-24T07:03:33Z
fft_butterfly,single_op,30,120,True,4,42370,dsp_ofdm,4d4c308,2026-03-24T07:03:33Z
fft_butterfly,fused_dag,23,89,True,3,54618,dsp_ofdm,4d4c308,2026-03-24T07:03:33Z
fft_butterfly,configurable,30,120,True,4,64516,dsp_ofdm,4d4c308,2026-03-24T07:03:33Z
equalizer,single_op,22,88,True,4,37400,dsp_ofdm,4d4c308,2026-03-24T07:03:33Z
equalizer,fused_dag,19,74,True,3,45558,dsp_ofdm,4d4c308,2026-03-24T07:03:33Z
equalizer,configurable,22,88,True,4,51699,dsp_ofdm,4d4c308,2026-03-24T07:03:33Z
sad_matching,single_op,35,138,True,3,43830,arvr_stereo,4d4c308,2026-03-24T07:03:33Z
sad_matching,fused_dag,23,91,True,3,59783,arvr_stereo,4d4c308,2026-03-24T07:03:33Z
sad_matching,configurable,35,138,True,3,76622,arvr_stereo,4d4c308,2026-03-24T07:03:33Z
pagerank_spmv,single_op,39,153,True,3,60310,graph_analytics,4d4c308,2026-03-24T07:03:33Z
pagerank_spmv,fused_dag,28,111,True,3,77001,graph_analytics,4d4c308,2026-03-24T07:03:33Z
pagerank_spmv,configurable,39,153,True,3,90268,graph_analytics,4d4c308,2026-03-24T07:03:33Z
ntt,single_op,71,283,True,3,116420,zk_stark,4d4c308,2026-03-24T07:03:33Z
ntt,fused_dag,58,232,True,4,143915,zk_stark,4d4c308,2026-03-24T07:03:33Z
ntt,configurable,71,283,True,3,165289,zk_stark,4d4c308,2026-03-24T07:03:33Z
pose_estimate,single_op,116,464,True,4,198070,robotics_vio,4d4c308,2026-03-24T07:03:33Z
pose_estimate,fused_dag,92,368,True,4,247302,robotics_vio,4d4c308,2026-03-24T07:03:33Z
pose_estimate,configurable,116,464,True,4,286236,robotics_vio,4d4c308,2026-03-24T07:03:33Z
layernorm,single_op,38,149,True,3,61170,ai_llm,4d4c308,2026-03-24T07:03:33Z
layernorm,fused_dag,28,111,True,3,78036,ai_llm,4d4c308,2026-03-24T07:03:33Z
layernorm,configurable,38,149,True,3,91685,ai_llm,4d4c308,2026-03-24T07:03:33Z
